deputy_name,parti_ratt_financier,voted_as_party,nb_votes,percentage
vincent-bru,Ensemble,20,24,83.33333333333334
florence-lasserre,Ensemble,29,34,85.29411764705883
belkhir-belhaddad,Ensemble,32,33,96.96969696969697
annaig-le-meur,Ensemble,58,59,98.30508474576271
monique-iborra,Ensemble,17,18,94.44444444444444
erwan-balanant,Ensemble,64,69,92.7536231884058
eric-alauzet,Ensemble,29,32,90.625
sacha-houlie,Ensemble,40,59,67.79661016949152
clementine-autain,La France Insoumise,20,21,95.23809523809523
cecile-rilhac,Ensemble,42,46,91.30434782608695
damien-adam,Ensemble,56,58,96.55172413793103
jean-felix-acquaviva,Régions et peuples solidaires,7,8,87.5
pierre-cordier,Les Républicains,22,26,84.61538461538461
nathalie-bassire,Réunion libre,20,20,100.0
jean-luc-warsmann,Régions et peuples solidaires,4,6,66.66666666666666
david-habib,Parti radical de gauche,20,21,95.23809523809523
vincent-ledoux,Ensemble,3,10,30.0
fabien-laine,Ensemble,8,8,100.0
