nom_depute,1,2,3,4,5,6,7,8,9,10
jean-philippe-nilor,0,0,0,0,0,0,0,0,0,0
bruno-bilde,-1,1,1,1,0,0,0,0,0,-1
yannick-favennec-becot,0,0,0,0,0,0,0,0,-1,-1
francois-cormier-bouligeon,1,0,0,0,0,0,0,0,0,0
jimmy-pahun,1,0,0,0,0,0,0,0,0,0
philippe-gosselin,0,0,0,0,0,0,0,0,0,0
yannick-haury,1,0,0,0,0,0,0,0,0,0
gilles-le-gendre,1,0,0,-1,-1,0,0,-1,0,0
stephane-travert,0,0,0,0,0,0,0,0,0,0
aurelien-tache,1,0,-1,0,0,-1,-1,-1,-1,0
benjamin-dirx,1,1,0,0,0,0,0,0,-1,-1
thomas-gassilloud,1,0,0,0,0,0,0,0,-1,0
richard-ramos,1,0,-1,0,0,0,0,0,-1,-1
nicolas-forissier,0,1,0,0,0,0,0,0,0,0
philippe-latombe,1,0,0,0,0,0,0,0,0,0
philippe-berta,1,0,0,0,0,0,0,0,-1,-1
bertrand-pancher,1,0,0,0,0,0,0,0,0,0
franck-riester,1,0,0,0,0,0,0,0,0,0
herve-berville,1,1,0,-1,-1,-1,-1,0,0,0
joel-giraud,1,0,0,0,0,0,0,0,0,0
herve-saulignac,0,0,0,0,0,0,0,0,0,0
emmanuelle-menard,-1,1,1,1,0,-1,-1,1,0,-1
nicolas-dupont-aignan,-1,0,0,0,0,0,0,0,0,0
paul-andre-colombani,0,0,0,0,0,0,0,0,0,0
eric-bothorel,1,1,-1,-1,-1,-1,-1,-1,-1,-1
charles-de-courson,0,0,0,0,0,0,0,0,0,0
bertrand-bouyx,1,0,-1,-1,-1,-1,-1,-1,-1,0
alain-david,-1,0,0,0,0,0,0,0,0,0
jean-pierre-pont,1,0,0,0,0,0,0,0,0,0
constance-le-grip,-1,1,0,0,0,0,0,0,0,0
andre-chassaigne,-1,0,1,0,0,0,0,0,1,1
xavier-breton,0,1,0,0,0,0,0,0,0,0
remy-rebeyrotte,1,1,0,0,0,0,0,0,0,0
jean-carles-grelier,-1,0,0,0,0,0,0,0,-1,-1
sophie-mette,1,0,0,0,0,0,0,0,0,-1
xavier-batut,1,1,-1,-1,-1,-1,-1,-1,-1,-1
mathilde-panot,-1,0,1,1,1,1,1,0,0,0
sebastien-chenu,-1,1,1,0,0,0,0,0,0,0
adrien-quatennens,-1,-1,1,1,1,1,1,1,1,1
daniel-labaronne,1,0,-1,-1,-1,0,0,-1,0,0
eric-coquerel,-1,-1,1,1,1,1,1,1,1,0
frederic-petit,1,0,-1,0,0,0,0,0,0,0
naima-moutchou,1,1,0,0,0,0,0,0,0,0
guillaume-gouffier-cha,1,0,0,-1,0,0,0,-1,0,0
lise-magnier,0,0,-1,-1,0,0,0,0,-1,-1
loic-prud-homme,-1,-1,1,1,1,1,1,1,0,0
nicole-dubre-chirat,1,1,0,0,0,0,0,0,0,0
joel-aviragnet,-1,0,0,0,0,0,0,0,0,0
annie-genevard,0,0,0,-1,0,0,0,0,0,0
pierre-henri-dumont,-1,1,-1,-1,-1,-1,-1,0,-1,0
raphael-schellenberger,0,0,0,0,0,0,0,0,0,0
stephane-buchou,1,0,-1,-1,-1,-1,-1,-1,0,0
jean-yves-bony,0,1,0,0,0,0,0,0,0,0
huguette-tiegna,1,0,-1,-1,-1,-1,-1,-1,-1,-1
mansour-kamardine,1,0,-1,0,0,0,0,0,0,0
vincent-rolland,0,0,0,0,0,0,0,0,0,0
frederique-meunier,0,0,0,0,0,0,0,0,0,-1
didier-martin,1,0,0,0,0,0,0,0,0,0
claire-pitollat,1,0,-1,0,0,0,0,0,-1,-1
patrice-perrot,1,1,-1,-1,-1,-1,-1,-1,0,0
olivier-becht,0,0,0,0,0,0,0,0,-1,-1
pierre-henriet,1,1,-1,-1,-1,-1,-1,-1,-1,-1
bastien-lachaud,-1,-1,1,1,1,1,1,1,1,1
delphine-batho,0,1,0,0,0,0,0,0,0,0
robin-reda,0,0,0,0,-1,-1,-1,0,0,0
olivia-gregoire,1,1,-1,0,0,0,0,0,-1,0
jean-marie-fievet,1,0,-1,-1,-1,-1,-1,-1,0,-1
ugo-bernalicis,-1,-1,1,0,0,0,0,0,0,0
fabrice-brun,0,0,0,0,0,0,0,0,0,0
guy-bricout,0,0,0,0,0,0,0,0,0,0
anne-brugnera,1,0,0,0,0,0,0,0,-1,-1
olivier-serva,1,0,0,0,0,0,0,0,0,0
fabien-roussel,-1,0,1,1,1,0,1,0,1,0
lionel-causse,1,0,0,0,0,0,0,0,0,0
michele-tabarot,-1,0,0,0,0,0,0,0,0,0
anne-laurence-petel,1,0,0,0,0,0,-1,0,0,0
pierre-morel-a-l-huissier,0,0,0,0,0,0,0,0,0,0
fabienne-colboc,1,0,-1,-1,-1,-1,-1,-1,-1,-1
florent-boudie,1,1,0,0,0,0,0,0,0,0
caroline-janvier,1,1,-1,-1,-1,-1,-1,-1,-1,-1
beatrice-descamps,0,0,0,0,0,0,0,0,-1,-1
maud-petit,1,1,-1,0,0,0,0,0,-1,-1
sebastien-jumel,-1,0,1,1,1,0,1,1,1,1
cyrille-isaac-sibille,1,0,0,0,0,0,0,0,0,-1
aude-luquet,1,0,0,0,0,0,0,0,0,0
berangere-couillard,1,1,-1,-1,0,0,0,0,-1,-1
marie-noelle-battistel,0,0,0,0,0,0,0,0,0,0
stephanie-rist,1,1,0,-1,-1,-1,-1,-1,-1,-1
mireille-clapot,1,0,-1,-1,-1,-1,-1,-1,-1,-1
max-mathiasin,1,0,0,0,0,0,0,0,0,0
jean-pierre-cubertafon,1,0,0,0,0,0,0,0,-1,-1
marc-le-fur,0,0,0,0,0,0,0,0,0,-1
bertrand-sorre,1,0,0,0,0,0,0,0,-1,-1
olivier-falorni,1,0,0,0,0,0,0,0,0,0
nadia-hai,1,0,-1,0,-1,-1,-1,-1,0,0
hubert-wulfranc,-1,0,1,1,1,1,1,1,1,1
jacqueline-maquet,1,0,0,0,0,0,0,0,-1,0
cecile-untermaier,0,0,0,0,0,0,0,0,0,0
ian-boucard,-1,0,0,0,0,0,0,0,0,0
aurore-berge,1,1,-1,-1,-1,0,0,0,-1,-1
amelia-lakrafi,1,0,-1,0,0,0,0,0,-1,0
caroline-fiat,-1,-1,1,1,1,1,1,1,0,0
virginie-duby-muller,0,0,0,-1,0,0,0,0,0,-1
francois-ruffin,-1,0,1,1,1,1,1,1,1,1
eric-pauget,0,0,0,0,0,0,0,0,-1,-1
loic-kervran,1,0,0,-1,-1,-1,-1,-1,-1,-1
sylvain-maillard,1,1,-1,-1,-1,-1,-1,-1,-1,0
josiane-corneloup,0,0,0,0,0,0,0,0,0,0
michel-herbillon,0,0,0,0,0,0,0,0,0,0
denis-masseglia,1,1,-1,-1,-1,-1,-1,-1,-1,-1
bruno-fuchs,1,0,-1,0,0,0,0,0,-1,0
marie-lebec,1,1,0,0,0,0,0,0,-1,0
jean-charles-larsonneur,1,0,0,0,0,0,0,0,0,0
genevieve-darrieussecq,0,0,0,0,0,0,0,0,0,0
didier-paris,1,1,-1,0,0,0,0,0,0,0
liliana-tanguy,1,0,0,0,0,0,0,0,0,0
olivier-marleix,-1,0,0,0,0,0,0,0,0,0
didier-le-gac,1,0,0,0,0,0,0,0,-1,0
jerome-nury,0,0,0,0,0,0,0,0,-1,-1
stanislas-guerini,1,0,-1,-1,0,0,0,0,-1,-1
michel-castellani,0,0,0,1,0,0,0,0,1,0
barbara-pompili,1,0,-1,-1,-1,-1,-1,0,0,0
laetitia-saint-paul,1,0,0,0,0,0,0,0,-1,-1
dominique-potier,0,0,0,0,0,0,0,0,0,0
patricia-miralles,1,0,0,0,0,0,0,0,0,0
vincent-descoeur,0,1,0,-1,0,0,0,0,0,0
